N = 100000
regressing against normal vector

epoch 	 Training Loss 	 Test Loss 	 Mean pos error train 	 Mean Pos Error Test
1 	 0.0458 	  0.0292 	 0.0748 	 0.0605
2 	 0.0240 	  0.0215 	 0.0535 	 0.0500
3 	 0.0191 	  0.0173 	 0.0472 	 0.0453
4 	 0.0166 	  0.0163 	 0.0434 	 0.0414
5 	 0.0151 	  0.0147 	 0.0410 	 0.0387
6 	 0.0140 	  0.0149 	 0.0400 	 0.0392
7 	 0.0132 	  0.0133 	 0.0392 	 0.0382
8 	 0.0125 	  0.0141 	 0.0382 	 0.0368
9 	 0.0119 	  0.0125 	 0.0374 	 0.0364
10 	 0.0115 	  0.0124 	 0.0368 	 0.0385
11 	 0.0112 	  0.0117 	 0.0363 	 0.0356
12 	 0.0108 	  0.0122 	 0.0357 	 0.0357
13 	 0.0107 	  0.0119 	 0.0353 	 0.0340
14 	 0.0105 	  0.0114 	 0.0350 	 0.0354
15 	 0.0101 	  0.0112 	 0.0344 	 0.0327
16 	 0.0100 	  0.0107 	 0.0343 	 0.0324
17 	 0.0097 	  0.0112 	 0.0338 	 0.0366
18 	 0.0097 	  0.0102 	 0.0334 	 0.0336
19 	 0.0095 	  0.0100 	 0.0332 	 0.0323
20 	 0.0094 	  0.0101 	 0.0328 	 0.0324
21 	 0.0092 	  0.0101 	 0.0322 	 0.0316
22 	 0.0091 	  0.0099 	 0.0323 	 0.0327
23 	 0.0090 	  0.0096 	 0.0318 	 0.0309
24 	 0.0090 	  0.0102 	 0.0317 	 0.0312
25 	 0.0089 	  0.0101 	 0.0316 	 0.0318
26 	 0.0087 	  0.0094 	 0.0311 	 0.0312
27 	 0.0087 	  0.0096 	 0.0310 	 0.0313
28 	 0.0086 	  0.0100 	 0.0308 	 0.0302
29 	 0.0086 	  0.0097 	 0.0308 	 0.0302
30 	 0.0085 	  0.0095 	 0.0306 	 0.0301
31 	 0.0084 	  0.0098 	 0.0305 	 0.0320
32 	 0.0084 	  0.0095 	 0.0304 	 0.0318
33 	 0.0084 	  0.0093 	 0.0301 	 0.0323
34 	 0.0083 	  0.0096 	 0.0301 	 0.0274
35 	 0.0082 	  0.0089 	 0.0300 	 0.0347
36 	 0.0082 	  0.0092 	 0.0299 	 0.0297
37 	 0.0083 	  0.0094 	 0.0299 	 0.0290
38 	 0.0082 	  0.0099 	 0.0297 	 0.0299
39 	 0.0080 	  0.0094 	 0.0296 	 0.0297
40 	 0.0079 	  0.0098 	 0.0295 	 0.0309
41 	 0.0081 	  0.0091 	 0.0295 	 0.0300
42 	 0.0080 	  0.0092 	 0.0296 	 0.0317
43 	 0.0081 	  0.0095 	 0.0299 	 0.0321
44 	 0.0080 	  0.0091 	 0.0295 	 0.0286
45 	 0.0079 	  0.0090 	 0.0296 	 0.0310
46 	 0.0078 	  0.0090 	 0.0294 	 0.0277
47 	 0.0078 	  0.0095 	 0.0295 	 0.0317
48 	 0.0078 	  0.0092 	 0.0295 	 0.0321
49 	 0.0078 	  0.0096 	 0.0295 	 0.0318
50 	 0.0077 	  0.0100 	 0.0294 	 0.0289
51 	 0.0077 	  0.0093 	 0.0293 	 0.0280
52 	 0.0077 	  0.0097 	 0.0294 	 0.0314
53 	 0.0077 	  0.0093 	 0.0295 	 0.0323
54 	 0.0077 	  0.0086 	 0.0296 	 0.0284
55 	 0.0077 	  0.0087 	 0.0295 	 0.0283
56 	 0.0076 	  0.0092 	 0.0295 	 0.0303
57 	 0.0076 	  0.0093 	 0.0295 	 0.0315
58 	 0.0076 	  0.0085 	 0.0296 	 0.0283
59 	 0.0076 	  0.0095 	 0.0295 	 0.0320
60 	 0.0077 	  0.0091 	 0.0299 	 0.0277
61 	 0.0075 	  0.0092 	 0.0294 	 0.0285
62 	 0.0075 	  0.0089 	 0.0293 	 0.0307
63 	 0.0076 	  0.0095 	 0.0295 	 0.0301
64 	 0.0075 	  0.0088 	 0.0295 	 0.0295
65 	 0.0075 	  0.0091 	 0.0294 	 0.0295
